	A1	A2	A3	B1	B2	B3	C1	C2	C3
gene_1	1909	1312	2213	494	446	672	508	535	1091
gene_2	184	232	238	31	36	67	38	31	21
gene_3	418	206	312	22	136	140	64	135	86
gene_4	0	2	1	1	0	3	0	0	0
gene_5	13	13	7	7	1	6	8	0	10
gene_6	0	0	34	0	4	8	0	0	0
gene_7	380	492	498	123	128	116	114	97	130
gene_8	2	0	1	8	3	0	0	6	6
gene_9	243	435	436	86	93	118	86	89	53
gene_10	64	45	87	21	24	23	21	34	26
gene_11	110	66	117	23	29	37	22	24	31
gene_12	56	60	144	21	13	13	20	9	17
gene_13	446	434	630	133	76	108	98	70	90
gene_14	44	115	84	45	26	18	15	20	15
gene_15	488	2576	305	173	50	959	77	18	110
gene_16	5	2	25	2	0	6	0	0	5
gene_17	293	119	0	45	265	38	1	88	3
gene_18	306	436	386	36	86	138	102	59	33
gene_19	430	399	463	90	66	70	110	109	88
gene_20	480	280	314	69	63	84	106	75	59
gene_21	5	15	1	3	0	3	1	0	0
gene_22	24	21	17	8	6	7	10	1	2
gene_23	813	1147	842	276	20	343	92	74	197
gene_24	19	36	3	0	0	1	6	0	13
gene_25	73	112	76	21	11	23	16	25	18
gene_26	155	149	90	13	24	57	56	17	25
gene_27	85	88	103	30	15	20	21	27	21
gene_28	273	219	533	124	37	49	120	100	27
gene_29	231	197	155	58	41	52	34	86	11
gene_30	119	137	5	0	38	79	31	161	4
gene_31	17	1	2	5	0	3	10	7	3
gene_32	94	72	72	13	18	18	18	20	18
gene_33	57	20	29	20	20	41	7	1	7
gene_34	190	227	145	71	59	53	47	45	39
gene_35	9356	13151	14734	1774	3041	2025	3665	2088	2031
gene_36	46	51	37	3	6	15	9	3	11
gene_37	1889	1770	1711	635	373	572	408	413	387
gene_38	40826	46850	38747	9127	9252	8316	8913	9417	8700
gene_39	24	5	17	0	0	2	0	0	4
gene_40	92	43	1	70	3	0	9	0	94
gene_41	117	427	171	79	80	50	82	45	48
gene_42	7175	4006	5574	1194	1092	1484	1334	1177	1815
gene_43	231	252	201	56	74	75	41	47	47
gene_44	99	79	103	16	27	16	6	15	18
gene_45	11	91	13	67	7	2	27	7	15
gene_46	12	9	22	3	1	0	0	0	0
gene_47	111	27	69	34	30	28	46	23	31
gene_48	169	62	121	41	38	16	51	56	47
gene_49	42	44	32	46	5	26	0	10	12
gene_50	115	130	190	33	85	9	67	60	90
gene_51	0	1	35	1	0	4	1	6	9
gene_52	386	259	278	77	87	80	87	83	73
gene_53	11	316	141	3	2	74	11	10	1
gene_54	23	247	212	33	24	28	31	60	70
gene_55	361	89	57	29	29	21	21	30	28
gene_56	4	0	2	0	0	1	0	2	0
gene_57	0	0	9	0	0	0	0	2	3
gene_58	131	298	100	64	31	50	74	44	39
gene_59	526	395	421	104	143	120	144	161	86
gene_60	3902	541	1413	401	131	493	295	359	536
gene_61	341	123	192	36	49	60	11	35	57
gene_62	14	11	4	0	5	0	4	0	2
gene_63	6	1	1	2	1	0	0	0	0
gene_64	3132	1476	1956	529	221	386	611	551	671
gene_65	119	255	220	32	48	30	57	31	52
gene_66	856	778	858	235	188	220	193	247	185
gene_67	206	80	280	44	63	110	82	63	55
gene_68	78	99	49	32	24	18	10	38	47
gene_69	28	12	34	8	4	1	2	10	6
gene_70	18	0	28	10	7	0	2	0	3
gene_71	7	5	12	4	0	1	1	5	2
gene_72	25	50	64	5	23	8	10	7	6
gene_73	1196	1349	1268	416	388	308	314	316	373
gene_74	489	119	890	44	31	98	109	59	144
gene_75	57	112	65	30	32	31	21	20	23
gene_76	156	211	74	17	24	37	39	59	7
gene_77	2	0	2	0	0	0	0	0	0
gene_78	61	65	64	9	19	26	15	12	18
gene_79	1	1	4	1	0	2	2	1	0
gene_80	27	46	60	16	5	9	5	12	8
gene_81	6	11	23	0	14	0	0	4	1
gene_82	19	30	7	6	6	0	8	17	0
gene_83	77	42	75	17	20	10	16	18	14
gene_84	771	726	271	110	178	130	125	139	82
gene_85	4	0	1	1	2	0	0	1	0
gene_86	1278	1250	1217	294	275	305	268	326	275
gene_87	4560	3903	4560	939	1123	905	1126	1125	965
gene_88	370	260	336	138	136	56	188	79	103
gene_89	253	399	134	71	51	52	33	69	83
gene_90	21	32	22	21	15	7	5	5	12
gene_91	3884	1809	2666	884	757	827	606	365	778
gene_92	23	57	80	13	30	62	10	20	26
gene_93	12	4	11	4	1	2	1	5	4
gene_94	76	75	96	29	33	41	88	21	37
gene_95	100	204	149	52	54	44	33	22	47
gene_96	18	20	11	14	4	8	1	2	0
gene_97	1014	1286	2073	204	572	328	295	314	308
gene_98	155	141	171	51	58	52	62	32	73
gene_99	4	0	1	0	3	3	1	0	2
gene_100	90	31	29	1	17	31	5	18	10
gene_101	309	374	442	79	34	92	134	101	104
gene_102	2	1	5	1	5	0	0	0	0
gene_103	1	1	3	9	0	2	0	0	2
gene_104	6	6	0	0	5	2	3	0	0
gene_105	19	19	14	6	9	4	1	4	6
gene_106	92	168	246	49	50	35	56	71	58
gene_107	76	56	69	21	18	28	27	19	15
gene_108	3	0	3	0	1	5	2	2	0
gene_109	1418	1617	1603	340	270	388	449	506	403
gene_110	266	158	148	44	22	29	46	41	60
gene_111	0	0	1	0	0	0	0	0	1
gene_112	1809	2029	1761	260	414	322	326	596	649
gene_113	3	3	1	1	1	8	0	0	0
gene_114	174	220	334	38	64	95	30	15	6
gene_115	77	24	5	0	1	9	9	19	3
gene_116	7	5	14	1	0	1	7	1	1
gene_117	3	7	0	5	0	1	3	0	5
gene_118	299	132	147	3	28	9	48	47	39
gene_119	0	0	1	0	0	0	0	0	0
gene_120	252	377	358	97	96	34	82	76	204
gene_121	532	489	794	183	190	157	187	264	223
gene_122	2	10	0	0	0	0	0	0	1
gene_123	17	9	0	0	4	3	7	1	15
gene_124	1	2	0	0	1	2	0	0	0
gene_125	52	251	63	58	29	39	84	25	30
gene_126	1	22	7	16	48	93	16	1	9
gene_127	33	41	9	16	0	0	32	0	7
gene_128	1526	1414	1076	442	369	283	393	328	340
gene_129	357	295	316	104	87	106	52	41	68
gene_130	7	16	3	2	1	3	5	0	0
